Segment,Target,Order,MAE,RMSE,MAPE (%),R²
DEALER,net_sales,1,1865.0,2516.907328448944,30.976402001242043,-1.2176111615304572
DEALER,returns,1,1224.4666666666667,1872.0197660399967,270.9598757656623,-0.4685784065867209
OEM,net_sales,1,141.4009495562093,166.39405168856018,20.114703241355773,0.14363321490113157
OEM,returns,1,86.86666666666666,106.68296229691245,33.422116251272136,-0.6045331445763196
PROFESSIONAL END-USERS,net_sales,1,315.0037088809104,344.0229976680287,12.327383460353483,0.020870217254288503
PROFESSIONAL END-USERS,returns,1,67.91918878954694,75.398814521082,16.75121642222745,0.3886254128677272
