Segment,Target,Order,SARIMA_RMSE,SARIMA_MAPE,SARIMA_R2,Baseline_RMSE,Baseline_MAPE,Beats_Baseline
DEALER,net_sales,"(0,1,1)(0,1,0)[12]",2055.8209908224776,21.54878268415511,-0.8151913192769442,2103.6992814246687,22.06009029797223,True
DEALER,returns,"(0,1,1)(0,1,0)[12]",1057.4871374679788,34.463656496206305,-0.5984517941298104,1098.6615594541488,35.998794592200994,True
OEM,net_sales,"(0,1,1)(0,1,0)[12]",361.0854361017274,44.92098351235939,-2.575655226107247,366.502235857967,45.45038970477704,True
OEM,returns,"(0,1,1)(0,1,0)[12]",86.74773207307123,85.58170492969539,-1.3882498926649904,114.43775600735974,116.9614509085659,True
PROFESSIONAL END-USERS,net_sales,"(0,1,1)(0,1,0)[12]",242.71519424080495,6.951481620936841,0.11208922665630228,287.89986685188535,9.101483297907082,True
PROFESSIONAL END-USERS,returns,"(0,1,1)(0,1,0)[12]",26.71227109069897,4.231493498169539,-1.6259509119792064,146.76133308500877,26.500949101299803,True
